npy_path,png_path,label
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0000.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0000.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0001.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0001.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0002.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0002.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0003.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0003.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0004.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0004.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0005.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0005.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0006.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0006.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0007.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0007.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0008.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0008.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0009.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0009.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0010.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0010.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0011.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0011.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0012.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0012.png,1
c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\npy\sample_0013.npy,c:\Users\kalya\Downloads\AIR Guruji Assignment\radar_project\data\trainval\images\sample_0013.png,1
